dataset,scene,split,iteration,normal_key,mask_policy,normal_space,absolute_dot,flip_x,flip_y,flip_z,flip_preset,normal_mae_deg,valid_pixel_count,valid_pixel_ratio,frame_count,missing_frame_count,status,notes,diagnostic_only
refnerf,ball,test,30000,surf_normal,source_rgba_alpha,world,False,False,True,True,flip_yz,121.18060302734375,5133,0.5133,20,0,ok,diagnostic_grid_sampled_max_pixels_per_frame=500; diagnostic_grid_sampled_frames=20_of_200,False
refnerf,ball,test,30000,surf_normal,source_rgba_alpha,world,True,False,True,True,flip_yz,45.93891353607178,5133,0.5133,20,0,ok,diagnostic_grid_sampled_max_pixels_per_frame=500; diagnostic_grid_sampled_frames=20_of_200,True
refnerf,ball,test,30000,surf_normal,gt_normal_alpha,as_saved,False,False,False,False,none,4.29059932231903,5165,0.5165,20,0,ok,diagnostic_grid_sampled_max_pixels_per_frame=500; diagnostic_grid_sampled_frames=20_of_200,False
refnerf,ball,test,30000,surf_normal,gt_normal_alpha,as_saved,True,False,False,False,none,3.915962314605713,5165,0.5165,20,0,ok,diagnostic_grid_sampled_max_pixels_per_frame=500; diagnostic_grid_sampled_frames=20_of_200,True
refnerf,ball,test,30000,surf_normal,gt_normal_alpha,as_saved,False,False,True,False,flip_y,85.70412864685059,5165,0.5165,20,0,ok,diagnostic_grid_sampled_max_pixels_per_frame=500; diagnostic_grid_sampled_frames=20_of_200,False
refnerf,ball,test,30000,surf_normal,gt_normal_alpha,as_saved,True,False,True,False,flip_y,53.78734855651855,5165,0.5165,20,0,ok,diagnostic_grid_sampled_max_pixels_per_frame=500; diagnostic_grid_sampled_frames=20_of_200,True
refnerf,ball,test,30000,surf_normal,gt_normal_alpha,as_saved,False,False,False,True,flip_z,52.80206699371338,5165,0.5165,20,0,ok,diagnostic_grid_sampled_max_pixels_per_frame=500; diagnostic_grid_sampled_frames=20_of_200,False
refnerf,ball,test,30000,surf_normal,gt_normal_alpha,as_saved,True,False,False,True,flip_z,44.18536739349365,5165,0.5165,20,0,ok,diagnostic_grid_sampled_max_pixels_per_frame=500; diagnostic_grid_sampled_frames=20_of_200,True
refnerf,ball,test,30000,surf_normal,gt_normal_alpha,as_saved,False,False,True,True,flip_yz,120.96608924865723,5165,0.5165,20,0,ok,diagnostic_grid_sampled_max_pixels_per_frame=500; diagnostic_grid_sampled_frames=20_of_200,False
refnerf,ball,test,30000,surf_normal,gt_normal_alpha,as_saved,True,False,True,True,flip_yz,46.071370887756345,5165,0.5165,20,0,ok,diagnostic_grid_sampled_max_pixels_per_frame=500; diagnostic_grid_sampled_frames=20_of_200,True
